year,month,date,incoming,awarded,count_series,bid_to_cover,incoming_perserie,kuasi_changes,bfcius_index,move_index,usyoy_inflation_survey,idyoy_inflation_survey,bbbcorpspread,emusdindex,finstressidx
2011,3,2011-03-01,47.9614,17,8,2.821258824,5.995175,31.32755,-0.045956522,94.50434783,2.6,6.99,1.925454545,93.54025,-0.243875
2011,4,2011-04-01,40.868,13.6,10,3.005,4.0868,-8.41436,0.25852381,82.1952381,3.1,6.4,1.856,91.96933,-0.47496
2011,5,2011-05-01,32.0084,12.95,9,2.47169112,3.556488889,16.76718,0.268681818,78.80909091,3.4,5.94,1.89952381,91.78765,-0.3765
2011,6,2011-06-01,31.3366,10,9,3.13366,3.481844444,26.91125,0.012954545,81.16818182,3.6,5.4,2.0425,91.913165,-0.214125
2011,7,2011-07-01,60.2879,14.95,12,4.032635452,5.023991667,28.09299,-0.028285714,88.34285714,3.3,4.8,2.035238095,91.17825,-0.33144
2011,8,2011-08-01,32.9866,9.4,11,3.509212766,2.998781818,37.36931,-1.324347826,99.32608696,3.6,4.7,2.403157895,92.40658421,0.70585
2011,9,2011-09-01,29.3992,12.15,10,2.419687243,2.93992,19.69763,-1.744090909,100.4136364,3.9,4.86,2.8605,95.80478421,0.80248
2011,10,2011-10-01,27.174,12,10,2.2645,2.7174,21.57487,-1.729428571,106.8619048,3.7,4.76,2.991428571,96.764965,0.6119
2011,11,2011-11-01,30.698,13.55,10,2.265535055,3.0698,27.22545,-1.793863636,107.8409091,3.5,4.2,2.956363636,97.343325,0.896975
2011,12,2011-12-01,,,,,,92.99388,-1.497727273,93.42727273,3,3.86,3.09,97.98460952,0.61346
2012,1,2012-01-01,77.8035,20.5,10,3.795292683,7.78035,-3.39357,-1.046363636,80.35909091,2.8,3.61,3.0025,96.65324737,0.37555
2012,2,2012-02-01,64.6485,24,10,2.6936875,6.46485,6.47822,-0.585380952,77.67619048,2.9,3.8,2.691428571,94.524205,0.08715
2012,3,2012-03-01,24.705,8.9,10,2.775842697,2.4705,25.52754,-0.379727273,80.75909091,2.7,4,2.46,94.90003333,-0.08468
2012,4,2012-04-01,34.326,11.2,9,3.064821429,3.814,11.87025,-0.414333333,73.75714286,2.3,4.46,2.52,95.754505,0.030725
2012,5,2012-05-01,28.0305,8.325,9,3.367027027,3.1145,14.58106,-0.591347826,66.82608696,1.8,4.62,2.658095238,97.747745,0.14135
2012,6,2012-06-01,27.4834,14.35,9,1.915219512,3.053711111,11.45453,-0.805047619,81.6952381,1.6,4.38,2.805714286,99.2193,0.18294
2012,7,2012-07-01,44.1769,15.95,9,2.769711599,4.908544444,7.8757,-0.422136364,65.50909091,1.6,4.59,2.648636364,97.99325714,-0.00045
2012,8,2012-08-01,28.5338,12.84,10,2.222258567,2.85338,36.1262,-0.162565217,69.92608696,1.7,4.41,2.462105263,97.45970526,-0.19904
2012,9,2012-09-01,25.9928,11.5,9,2.260243478,2.888088889,9.13333,0.05835,63.98,1.9,4.59,2.3135,96.38825789,-0.413475
2012,10,2012-10-01,36.7939,16.5,9,2.229933333,4.088211111,40.07169,0.225608696,65.25217391,2.1,4.59,2.086666667,95.71723158,-0.51935
2012,11,2012-11-01,28.94,7.5,5,3.858666667,5.788,14.17866,0.234636364,58,1.9,4.57,2.1035,96.03847778,-0.42418
2012,12,2012-12-01,9.153,1.2,2,7.6275,4.5765,68.16986,0.269,54.74761905,1.8,4.2,2.079444444,95.51573889,-0.567575
